WBGeneID,Public_name
WBGene00004809,skr-3
WBGene00004810,skr-4
WBGene00004811,skr-5
WBGene00004819,skr-13
WBGene00004820,skr-14
WBGene00004821,skr-15
WBGene00004822,skr-16
WBGene00004823,skr-17
WBGene00004826,skr-20
WBGene00004855,sma-1
WBGene00004858,sma-4
WBGene00004859,sma-5
WBGene00004860,sma-6
WBGene00004875,smd-1
WBGene00004878,smf-3
WBGene00004888,smo-1
WBGene00004893,sms-2
WBGene00004898,snb-2
WBGene00004918,snr-5
WBGene00004919,snr-6
WBGene00004920,snr-7
WBGene00004927,snx-1
WBGene00004979,sph-1
WBGene00004981,spl-1
WBGene00004986,spp-1
WBGene00004987,spp-2
WBGene00004988,spp-3
WBGene00004989,spp-4
WBGene00004990,spp-5
WBGene00004991,spp-6
WBGene00004993,spp-8
WBGene00004995,spp-10
WBGene00004998,spp-13
WBGene00004999,spp-14
WBGene00005001,spp-16
WBGene00005003,spp-18
WBGene00005007,spr-2
WBGene00005012,F26F4.2
WBGene00005014,spt-4
WBGene00005015,spt-5
WBGene00005712,srv-1
WBGene00005769,srw-22
WBGene00005833,srw-86
WBGene00005932,srx-41
WBGene00006051,ssq-2
WBGene00006052,ssq-3
WBGene00006056,sss-1
WBGene00006057,
WBGene00006061,stl-1
WBGene00006063,sto-1
WBGene00006077,str-9
WBGene00006351,sur-5
WBGene00006366,sym-1
WBGene00006367,sym-2
WBGene00006381,tac-1
WBGene00006392,taf-10
WBGene00006404,tag-10
WBGene00006407,lim-9
WBGene00006410,nck-1
WBGene00006414,raga-1
WBGene00006416,sams-5
WBGene00006433,sdhb-1
WBGene00006438,nrfl-1
WBGene00006452,heh-1
WBGene00006454,aex-4
WBGene00006461,tag-96
WBGene00006464,bath-47
WBGene00006470,tag-120
WBGene00006489,zhit-3
WBGene00006491,acl-3
WBGene00006494,zipt-7.2
WBGene00006496,cgef-1
WBGene00006499,tag-153
WBGene00006503,snx-3
WBGene00006515,txdc-9
WBGene00006520,tag-175
WBGene00006533,tba-7
WBGene00006547,tbx-11
WBGene00006573,tin-10
WBGene00006574,tin-13
WBGene00006575,tir-1
WBGene00006578,tli-1
WBGene00006584,tni-1
WBGene00006585,tni-3
WBGene00006592,dpy-31
WBGene00006603,tps-2
WBGene00006609,tre-3
WBGene00006621,try-3
WBGene00006626,tsn-1
WBGene00006627,tsp-1
WBGene00006628,tsp-2
WBGene00006636,tsp-10
WBGene00006679,twk-26
WBGene00006680,twk-28
WBGene00006713,ubc-18
WBGene00006715,ubc-20
WBGene00006721,ubh-1
WBGene00006730,uev-1
WBGene00006755,unc-16
WBGene00006817,unc-85
WBGene00006890,vem-1
WBGene00006902,vet-6
WBGene00006910,vha-1
WBGene00006911,vha-2
WBGene00006912,vha-3
WBGene00006913,vha-4
WBGene00006915,vha-6
WBGene00006918,vha-9
WBGene00006919,vha-10
WBGene00006920,vha-11
WBGene00006922,vhl-1
WBGene00006925,vit-1
WBGene00006926,vit-2
WBGene00006929,vit-5
WBGene00006930,vit-6
WBGene00006942,wrk-1
WBGene00006946,prx-10
WBGene00006948,wrt-2
WBGene00006951,wrt-5
WBGene00006956,wrt-10
WBGene00006957,wsp-1
WBGene00006965,xtr-1
WBGene00006984,zig-7
WBGene00007000,tufm-1
WBGene00007001,tufm-2
WBGene00007012,mdt-4
WBGene00007014,mdt-10
WBGene00007018,mdt-18
WBGene00007021,immp-1
WBGene00007022,mdt-22
WBGene00007026,mdt-31
WBGene00007045,pgap-2
WBGene00007058,dmd-6
WBGene00007068,cTel55X.1
WBGene00007070,ugt-49
WBGene00007072,ugt-1
WBGene00007073,ugt-2
WBGene00007083,AH10.2
WBGene00007097,B0024.4
WBGene00007099,trx-2
WBGene00007106,B0035.3
WBGene00007107,pfd-4
WBGene00007112,B0035.13
WBGene00007113,B0035.15
WBGene00007129,B0272.3
WBGene00007130,B0272.4
WBGene00007136,B0285.3
WBGene00007142,ttr-18
WBGene00007143,B0334.3
WBGene00007144,B0334.4
WBGene00007153,clec-41
WBGene00007167,rbg-3
WBGene00007178,B0457.2
WBGene00007185,nlp-36
WBGene00007195,thoc-7
WBGene00007223,C01F6.9
WBGene00007228,acs-7
WBGene00007236,C01G10.9
WBGene00007254,C01H6.4
WBGene00007257,C01H6.8
WBGene00007275,C03D6.1
WBGene00007284,C03H12.1
WBGene00007301,C04F12.7
WBGene00007303,rnh-1.3
WBGene00007322,C05B5.5
WBGene00007327,C05C9.3
WBGene00007336,C05C12.4
WBGene00007348,C05G5.2
WBGene00007355,rpb-6
WBGene00007362,cyp-35C1
WBGene00007365,C06B3.6
WBGene00007368,C06B8.2
WBGene00007384,swt-3
WBGene00007385,atp-5
WBGene00007392,fbxa-156
WBGene00007393,fbxa-157
WBGene00007394,C06H5.6
WBGene00007395,dcar-1
WBGene00007400,bud-31
WBGene00007407,C07B5.2
WBGene00007409,C07B5.4
WBGene00007413,pro-2
WBGene00007414,C07E3.3
WBGene00007421,C07H4.1
WBGene00007422,ugt-17
WBGene00007423,C08B6.2
WBGene00007424,C08B6.3
WBGene00007430,C08B6.10
WBGene00007431,C08B6.11
WBGene00007436,C08B11.9
WBGene00007440,C08E8.4
WBGene00007443,pfd-1
WBGene00007453,fbxa-98
WBGene00007455,ugt-22
WBGene00007458,ule-4
WBGene00007460,C08F11.13
WBGene00007463,vgln-1
WBGene00007506,fbxc-58
WBGene00007507,C10C5.3
WBGene00007508,C10C5.4
WBGene00007509,C10C5.5
WBGene00007513,wht-2
WBGene00007515,C10C6.7
WBGene00007533,cbl-1
WBGene00007536,daf-36
WBGene00007546,nhr-153
WBGene00007549,spin-1
WBGene00007550,C13C4.6
WBGene00007557,C14A4.6
WBGene00007558,C14A4.7
WBGene00007560,C14A4.9
WBGene00007565,clec-48
WBGene00007573,C14B1.2
WBGene00007579,C14B1.8
WBGene00007586,ril-2
WBGene00007588,C14C10.5
WBGene00007593,C14H10.3
WBGene00007605,hrg-7
WBGene00007607,C15C8.5
WBGene00007609,C15C8.7
WBGene00007614,gnrr-2
WBGene00007616,rpoa-12
WBGene00007617,rrbs-1
WBGene00007619,C15H11.11
WBGene00007623,C16C10.2
WBGene00007646,nkb-1
WBGene00007649,C17G1.2
WBGene00007650,ugt-23
WBGene00007653,cysl-1
WBGene00007655,C17H1.2
WBGene00007656,pals-2
WBGene00007660,pals-6
WBGene00007679,C18D11.1
WBGene00007680,maa-1
WBGene00007684,C18E9.4
WBGene00007685,C18E9.5
WBGene00007689,C18E9.9
WBGene00007691,cest-8
WBGene00007702,C24H11.5
WBGene00007708,nola-3
WBGene00007716,fbxa-82
WBGene00007717,C25D7.5
WBGene00007718,otub-1
WBGene00007724,C25F9.4
WBGene00007726,C25F9.6
WBGene00007728,C25F9.9
WBGene00007730,C25G4.2
WBGene00007731,C25G4.3
WBGene00007736,igdb-2
WBGene00007743,C26C6.9
WBGene00007753,C27A7.1
WBGene00007763,C27B7.6
WBGene00007764,C27B7.7
WBGene00007769,C27C7.7
WBGene00007772,egrh-1
WBGene00007775,acd-3
WBGene00007778,C27D8.2
WBGene00007779,C27D8.3
WBGene00007796,C28D4.10
WBGene00007807,C29F3.7
WBGene00007808,best-7
WBGene00007810,C29F7.1
WBGene00007811,C29F7.2
WBGene00007812,C29F7.3
WBGene00007824,dlat-2
WBGene00007825,C30H6.8
WBGene00007833,oac-6
WBGene00007848,cytb-5.1
WBGene00007855,C31H5.4
WBGene00007856,C31H5.5
WBGene00007857,C31H5.6
WBGene00007858,C31H5.7
WBGene00007862,kvs-2
WBGene00007864,irg-6
WBGene00007867,C32H11.4
WBGene00007875,dod-24
WBGene00007880,C33A12.1
WBGene00007881,nlp-35
WBGene00007885,ugt-21
WBGene00007886,ethe-1
WBGene00007898,C33D9.3
WBGene00007901,C33D9.8
WBGene00007904,C33G3.4
WBGene00007927,C34C12.8
WBGene00007932,zip-5
WBGene00007937,C34E11.4
WBGene00007939,C34F6.5
WBGene00007942,idh-2
WBGene00007944,C34F6.10
WBGene00007945,C34F6.11
WBGene00007950,C35A5.6
WBGene00007951,dmsr-8
WBGene00007958,C35C5.9
WBGene00007964,cyp-25A2
WBGene00007969,acs-19
WBGene00007970,C36A4.10
WBGene00007971,rpb-3
WBGene00007973,C36B1.6
WBGene00008032,C39E9.8
WBGene00008042,C40H1.7
WBGene00008043,C40H1.8
WBGene00008068,sdz-6
WBGene00008091,C44F1.1
WBGene00008102,C44H9.7
WBGene00008123,ent-4
WBGene00008125,C47A4.5
WBGene00008127,ddo-1
WBGene00008139,C47D12.5
WBGene00008163,C47F8.7
WBGene00008165,C47G2.4
WBGene00008167,acox-1.5
WBGene00008168,C48B4.3
WBGene00008178,C48D1.5
WBGene00008191,C49A1.10
WBGene00008194,C49C3.4
WBGene00008195,ceh-88
WBGene00008199,C49C3.9
WBGene00008200,C49C3.10
WBGene00008201,C49C3.11
WBGene00008211,C49F5.7
WBGene00008216,mec-19
WBGene00008226,C50B8.4
WBGene00008227,C50B8.5
WBGene00008229,C50F4.1
WBGene00008234,C50F4.9
WBGene00008239,fshr-1
WBGene00008246,C50H2.13
WBGene00008255,C51E3.10
WBGene00008262,ril-1
WBGene00008267,C53A5.9
WBGene00008277,mltn-12
WBGene00008282,
WBGene00008296,cdr-2
WBGene00008301,pals-39
WBGene00008333,C55A6.4
WBGene00008335,C55A6.6
WBGene00008336,C55A6.7
WBGene00008340,C55A6.11
WBGene00008341,ttr-44
WBGene00008350,
WBGene00008352,fbxa-6
WBGene00008353,D1025.1
WBGene00008354,gcsh-1
WBGene00008355,fbxa-141
WBGene00008356,nspc-20
WBGene00008368,D1053.3
WBGene00008371,D1054.3
WBGene00008375,D1054.8
WBGene00008380,prp-38
WBGene00008398,D2005.3
WBGene00008405,ttll-12
WBGene00008408,D2023.4
WBGene00008409,mpst-1
WBGene00008414,D2030.4
WBGene00008415,mce-1
