WBGeneID,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00017498,Direct,SET6,Increasing,ClassA
WBGene00017501,Direct,SET5,Larval,ClassB
WBGene00017506,Indirect,SET6,Not_Bound,NA
WBGene00017514,Indirect,SET6,Not_Bound,NA
WBGene00017515,Direct,SET6,Increasing,ClassA
WBGene00017517,Indirect,SET3,Not_Bound,NA
WBGene00017518,Indirect,SET3,Not_Bound,NA
WBGene00017521,Indirect,SET3,Not_Bound,NA
WBGene00017522,Direct,SET3,Increasing,ClassC
WBGene00017523,Indirect,SET3,Not_Bound,NA
WBGene00017529,Indirect,SET3,Not_Bound,NA
WBGene00017530,Indirect,SET2,Increasing,NA
WBGene00017530,Indirect,SET2,L3_High,NA
WBGene00017537,Indirect,SET6,L3_High,NA
WBGene00017548,Indirect,SET1,Not_Bound,NA
WBGene00017549,Indirect,SET2,Not_Bound,NA
WBGene00017556,Indirect,SET6,Not_Bound,NA
WBGene00017570,Indirect,SET2,Not_Bound,NA
WBGene00017574,Direct,SET6,Increasing,ClassA
WBGene00017578,Indirect,SET6,L3_High,NA
WBGene00017578,Indirect,SET6,L3_High,NA
WBGene00017592,Direct,SET3,Increasing,ClassB
WBGene00017600,Indirect,SET6,Not_Bound,NA
WBGene00017612,Direct,SET6,Increasing,ClassA
WBGene00017621,Indirect,SET6,Not_Bound,NA
WBGene00017625,Direct,SET6,Larval,ClassB
WBGene00017625,Direct,SET6,Increasing,ClassB
WBGene00017625,Direct,SET6,Increasing,ClassB
WBGene00017641,Indirect,SET2,L3_High,NA
WBGene00017651,Direct,SET3,Increasing,ClassC
WBGene00017660,Indirect,SET6,Not_Bound,NA
WBGene00017666,Indirect,SET2,Not_Bound,NA
WBGene00017667,Direct,SET3,Larval,ClassB
WBGene00017667,Direct,SET3,Larval,ClassB
WBGene00017667,Direct,SET3,Larval,ClassB
